"","Position","Window.size","r.squared","Fold","ROI"
"386","masked_pre",191,0.48125342310654,4,0
"387","masked_pre",191,0.510983028092447,10,0
"388","masked_pre",191,0.488344468171905,8,0
"389","masked_pre",191,0.495995441334476,5,0
"390","masked_pre",191,0.491519352950282,9,0
"391","masked_pre",191,0.594110761564404,3,1
"392","masked_pre",191,0.604048762408784,2,1
"393","masked_pre",191,0.612225546370005,1,1
"394","masked_pre",191,0.611295265352937,6,1
"395","masked_pre",191,0.613986086301702,7,1
"396","masked_pre",191,0.623396868073247,4,1
"397","masked_pre",191,0.598039944794258,10,1
"398","masked_pre",191,0.634725997110736,8,1
"399","masked_pre",191,0.592294716660572,5,1
"400","masked_pre",191,0.611246674147888,9,1
"401","masked_pre",201,0.512807394542189,3,0
"402","masked_pre",201,0.521864146591278,2,0
"403","masked_pre",201,0.496735643847614,1,0
"404","masked_pre",201,0.480565921755495,6,0
"405","masked_pre",201,0.477283154191801,7,0
"406","masked_pre",201,0.485858327463096,4,0
"407","masked_pre",201,0.516439214025933,10,0
"408","masked_pre",201,0.493168407268716,8,0
"409","masked_pre",201,0.500483351650408,5,0
"410","masked_pre",201,0.495096564790518,9,0
"411","masked_pre",201,0.599150116382801,3,1
"412","masked_pre",201,0.608189489013546,2,1
"413","masked_pre",201,0.617039409593936,1,1
"414","masked_pre",201,0.616957029816045,6,1
"415","masked_pre",201,0.619099996247476,7,1
"416","masked_pre",201,0.628103887435705,4,1
"417","masked_pre",201,0.60247566536996,10,1
"418","masked_pre",201,0.639455476631,8,1
"419","masked_pre",201,0.598309058501198,5,1
"420","masked_pre",201,0.616230279378063,9,1
"421","masked_pre",211,0.515366329229671,3,0
"422","masked_pre",211,0.52468959120561,2,0
"423","masked_pre",211,0.499806020424206,1,0
"424","masked_pre",211,0.482748234327831,6,0
"425","masked_pre",211,0.478823531071018,7,0
"426","masked_pre",211,0.489412652720311,4,0
"427","masked_pre",211,0.520111099041051,10,0
"428","masked_pre",211,0.49631038660659,8,0
"429","masked_pre",211,0.504370408857094,5,0
"430","masked_pre",211,0.49817409441244,9,0
"431","masked_pre",211,0.602586509967548,3,1
"432","masked_pre",211,0.611259909704091,2,1
"433","masked_pre",211,0.620659402552333,1,1
"434","masked_pre",211,0.620928141809227,6,1
"435","masked_pre",211,0.622253911370615,7,1
"436","masked_pre",211,0.631396246385058,4,1
"437","masked_pre",211,0.605845525960814,10,1
"438","masked_pre",211,0.6423255109506,8,1
"439","masked_pre",211,0.601985905378153,5,1
"440","masked_pre",211,0.618729093464475,9,1
"441","masked_pre",221,0.518598935538331,3,0
"442","masked_pre",221,0.528621273412527,2,0
"443","masked_pre",221,0.503049992377351,1,0
"444","masked_pre",221,0.486025600545634,6,0
"445","masked_pre",221,0.480496106711304,7,0
"446","masked_pre",221,0.493057840598517,4,0
"447","masked_pre",221,0.524130622288412,10,0
"448","masked_pre",221,0.499158857487944,8,0
